ID,LABEL,Type,SubClass Of [NAMED],definition,has_obo_namespace,database_cross_reference,creation_date,created_by
obo:ID_GEO0000047,Zambia,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000048,Comoros,Class,Eastern Africa,A country within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000049,Malawi,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000050,Lesotho,Class,Southern Africa,A Kingdom within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000051,Botswana,Class,Southern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000052,Mauritius,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000053,Swaziland,Class,Southern Africa,A Kingdom within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000054,Reunion,Class,Eastern Africa,An island in the Indian Ocean.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000055,South Africa,Class,Southern Africa,A country within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000056,Mayotte,Class,Eastern Africa,An island in the Indian Ocean.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000057,Mozambique,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000058,Madagascar,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000059,Libya,Class,Northern Africa,A country within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000060,Cameroon,Class,Central Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000061,Senegal,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000062,Republic of Congo,Class,Central Africa,The Republic of Congo  is a country located in Central Africa. It is bordered by five countries: Gabon and the Atlantic Ocean to the west; Cameroon to the northwest; the Central African Republic to the northeast; the Democratic Republic of the Congo to the east and south; and the Angolan exclave of Cabinda to the southwest [Wikipedia].,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000063,Liberia,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000064,Côte d'Ivoire,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000065,Ghana,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000066,Equatorial Guinea,Class,Central Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000067,Nigeria,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000068,Burkina Faso,Class,Western Africa,A country within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000069,Togo,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000070,Guinea-Bissau,Class,Western Africa,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000071,Mauritania,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000072,Benin,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000073,Gabon,Class,Central Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000074,Sierra Leone,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000075,São Tomé and Príncipe,Class,Central Africa,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000076,Gambia,Class,Western Africa,A country within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000077,Guinea,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000078,Chad,Class,Central Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000079,Niger,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000080,Mali,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000081,Western Sahara,Class,Africa,"Western Sahara is a disputed territory in the Maghreb region of North Africa, bordered by Morocco to the north, Algeria to the northeast, Mauritania to the east and south, and the Atlantic Ocean to the west.[Wikipedia]",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000082,Tunisia,Class,Northern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000083,Morocco,Class,Northern Africa,A Kingdom within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000084,Algeria,Class,Northern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000085,Angola,Class,Central Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000086,Namibia,Class,Southern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000087,Saint Helena,Class,Western Africa,A group of islands in the South Atlantic.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000088,Cape Verde,Class,Western Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000089,South Sudan,Class,Eastern Africa,A country within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000090,Yemen,Class,Arabia|Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000091,Iraq,Class,Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000092,Saudi Arabia,Class,Arabia|Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000093,Iran,Class,Middle East|Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000094,Syria,Class,Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000095,Armenia,Class,Caucasus Region,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000096,Jordan,Class,Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000097,Lebanon,Class,Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000098,Kuwait,Class,Arabia|Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000099,Oman,Class,Arabia|Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000100,Qatar,Class,Arabia|Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000101,Bahrain,Class,Arabia|Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000102,United Arab Emirates,Class,Arabia|Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000103,Israel,Class,Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000104,Turkey,Class,Middle East|Western Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000105,Azerbaijan,Class,Caucasus Region,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000106,Georgia,Class,Caucasus Region,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000107,Afghanistan,Class,Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000108,Pakistan,Class,Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000109,Bangladesh,Class,Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000110,Turkmenistan,Class,Central Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000111,Tajikistan,Class,Central Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000112,Sri Lanka,Class,Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000113,Bhutan,Class,Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000114,India,Class,Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000115,Maldives,Class,Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000116,British Indian Ocean Territory,Class,Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000117,Nepal,Class,Southern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000118,Myanmar,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000119,Uzbekistan,Class,Central Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000120,Kazakhstan,Class,Central Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000121,Kyrgyzstan,Class,Central Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000122,Cocos Islands,Class,Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000123,Vietnam,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000124,Thailand,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000125,Indonesia,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000126,Laos,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000127,Taiwan,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000128,Philippines,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000129,Malaysia,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000130,China,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000131,Hong Kong,Class,Eastern Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000132,Brunei,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000133,Macao,Class,Eastern Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000134,Cambodia,Class,South Eastern Asia,A Kingdom within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000135,South Korea,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000136,Japan,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000137,North Korea,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000138,Singapore,Class,South Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000139,Mongolia,Class,Eastern Asia,A country within Asia.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000140,Christmas Island,Class,Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000141,Palestina,Class,Middle East|Western Asia,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000142,Cyprus,Class,Middle East|Southern Europe,Cyprus is an island country in the Eastern Mediterranean.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000143,Greece,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000144,Estonia,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000145,Latvia,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000146,Lithuania,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000147,Svalbard and Jan Mayen,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000148,Svalbard,Class,Svalbard and Jan Mayen,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000149,Jan Mayen,Class,Svalbard and Jan Mayen,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000150,Moldova,Class,Eastern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000151,Belarus,Class,Eastern Europe,A country within ,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000152,Finland,Class,Northern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000153,Åland,Class,Northern Europe,.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000154,Ukraine,Class,Eastern Europe,"Ukraine is a sovereign state in Eastern Europe,[8] bordered by Russia to the east and northeast, Belarus to the northwest, Poland and Slovakia to the west, Hungary, Romania, and Moldova to the southwest, and the Black Sea and Sea of Azov to the south and southeast, respectively. [Wikipedia]",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000155,Macedonia,Class,Southern Europe,A country within Europe.,GeoNames,,2017-02-17T00:00:00Z,lawson
